Support_Ticket_ID,Issue_Description
34,Water resistance failed during light shower. Watch stopped working despite IP68 rating.
35,The box arrived damaged with the watch manual and warranty card missing.
36,Watch battery percentage stuck at 32% and won't increase or decrease no matter how long I use or charge it.
37,My student discount wasn't applied at checkout even though my status was verified.
38,Sleep tracking consistently shows zero deep sleep even when I feel well-rested after 8 hours.
39,My order shows delivered 3 days ago but carrier left it at leasing office without notification.
40,Battery started leaking a clear fluid after leaving watch in my hot car for an hour.
41,I was promised a free band with purchase but it wasn't included and I was told I'd need to pay for it.
42,Alarm vibration stopped working completely after 2 months of ownership.
43,Ordered a ZenTime Pro but received the basic ZenTime model instead.
44,Battery charging is inconsistent - sometimes reaches 100% in an hour other times takes all day.
45,My warranty replacement has a restocking fee of $25 which wasn't mentioned during the process.
46,Fitness tracking counts steps while I'm driving or sitting still making data completely unreliable.
47,The holiday gift set was missing the special edition watchface card with activation code.
48,Battery performance severely degraded after getting watch slightly wet while washing hands.
49,I was charged for a replacement band that was supposed to be covered under warranty.
50,Voice assistant activates randomly while I am talking to other people and not to the watch.
51,Step counter is not recording my steps properly.
52,Received a completely different model than ordered.
53,The delivery box was damaged and the watch is missing.
54,Unable to download the invoice for my purchase.
55,The smartwatch keeps restarting on its own.
56,The watch doesn’t sync with my phone app.
57,My warranty purchase was not reflected in the invoice.
58,Unable to download the invoice for my purchase.
59,I canceled my order but still got charged.
60,I received an empty package without the smartwatch.
61,"Received an email stating delivery, but no package arrived."
62,Failed transaction but money was deducted.
63,Sleep tracking is inaccurate and shows wrong data.
64,The watch restarts every time I plug in the charger.
65,Tracking number is invalid and not updating.
66,My smartwatch screen is unresponsive.
67,The wristband strap broke within a week of use.
68,The discount code didn't apply during checkout.
69,The charging port on the watch is loose and doesn’t work.
70,The wristband strap came off and does not fit well
71,My order is marked as delivered but no one signed for it.
72,Incorrect amount charged on my last invoice.
73,The watch buttons are not easy to use. Not sure if this is isolated to this piece.
74,Refund not yet received after cancellation.
75,Received a completely different model than ordered.
76,"Received an email stating delivery, but no package arrived."
77,My subscription got auto-renewed without my consent.
78,Refund not yet received after cancellation.
79,Battery percentage jumps randomly while in use.
80,My warranty purchase was not reflected in the invoice.
81,Tracking number is invalid and not updating.
82,My order is delayed beyond the estimated time.
83,Refund not yet received after cancellation.
84,Sleep tracking is inaccurate and shows wrong data.
85,Tracking number is invalid and not updating.
86,The battery life is way shorter than advertised.
87,The volume up and down buttons do not always function
88,Tracking number is not working. It says the number is invalid.
89,The charging port on the watch is loose and doesn’t work.
90,My smartwatch is overheating during use.
91,Overheating issue while charging the watch.
92,The invoice does not show my promo discount.
93,I had paid for expedited delivery. It has been 2 days and no order update.
94,The touchscreen lags when swiping through menus.
95,Extra fees were deducted from my bank account.
96,Billing statement does not match my purchase history.
97,The hard press option for switching off is unresponsive and the battery drains before the watch switches off
98,Watch face customization is not saving my preferences.
99,The watch buttons are stiff and hard to press.
100,Voice assistant doesn’t respond properly on my watch.
101,Customer unable to update payment method on the app due to repeated error messages and failed attempts.
102,"Smartwatch screen becomes unresponsive to touch after prolonged usage, especially during workouts."
103,"Package not delivered even after 4 days, tracking number shows 'in transit' with no updates."
104,"Battery drains completely within 2 hours of usage, even with minimal app activity and no GPS tracking."
105,"Received a defective strap with the smartwatch, strap is torn and unusable right out of the box."
106,"Customer overcharged for the monthly subscription, billed twice for the same period."
107,"Bluetooth connectivity issues with the phone, smartwatch disconnects frequently during calls."
108,"Tracking number not updated on the website, customer unable to track the package status."
109,"Battery overheating during charging, smartwatch becomes too hot to touch after 30 minutes of charging."
110,"Smartwatch not turning on after software update, screen remains blank despite multiple attempts to restart."
111,Duplicate charge on the customer's credit card for a single order.
112,"Heart rate monitor not functioning properly, showing inconsistent readings during workouts."
113,"Package delivered to the wrong address, customer unable to retrieve it."
114,"Battery percentage stuck at 50%, even after a full charge cycle."
115,"Received the wrong color of the smartwatch, customer ordered black but received silver."
116,"Unable to cancel subscription from the app, error message displayed during the process."
117,"Frequent disconnection from Wi-Fi, smartwatch unable to maintain a stable connection."
118,"Package missing some accessories, such as the charging cable and user manual."
119,"Battery swelling after 3 months of use, causing discomfort to the user."
120,"Smartwatch restarting randomly during usage, interrupting ongoing activities."
121,"Refund not processed for a returned item, customer waiting for over a month."
122,"Step counter not accurate, showing incorrect step counts during daily activities."
123,Package delayed due to incorrect address provided by the delivery service.
124,"Battery not charging beyond 80%, even after leaving it plugged in overnight."
125,"Received a used product instead of a new one, with visible scratches and wear."
126,"Unable to download apps from the store, error message displayed during installation."
127,"Scratches on the screen upon delivery, product not in pristine condition."
128,Package tracking shows delivered but not received by the customer.
129,"Battery draining even when the smartwatch is powered off, reducing standby time."
130,"Smartwatch freezing during calls, requiring a restart to function again."
131,"Incorrect billing amount on the invoice, customer charged more than the listed price."
132,"Sleep tracking not functioning, data not recorded accurately during the night."
133,"Package damaged during transit, box arrived crushed and partially open."
134,"Battery indicator fluctuating randomly, showing inconsistent charge levels."
135,Received an empty box instead of the product. Needs immediate attention.
136,"Unable to pair smartwatch with iPhone, connection fails repeatedly."
137,"Charging cable missing from the package, customer unable to charge the smartwatch."
138,Battery backup reduced significantly after a recent software update.
139,"Smartwatch microphone not working, unable to use voice commands or make calls."
140,"Charged twice for the same order, duplicate transaction on the customer's account."
141,"Inaccurate GPS tracking, showing incorrect locations during outdoor activities."
142,"Package delivered late without prior notice, causing inconvenience to the customer."
143,"Battery draining faster after the warranty expired, reducing usability."
144,"Smartwatch speaker producing distorted sound, making it difficult to hear notifications."
145,"Unable to activate warranty from the app, error message displayed during registration."
146,"Package delivered but missing the charger, customer unable to use the product."
147,"Battery swelling and causing discomfort, posing a safety risk to the user."
148,"Smartwatch not syncing with the app, data not updated or transferred."
149,"Incorrect tax amount charged on the bill, customer charged more than expected."
150,"Received a counterfeit product, not matching the specifications of the original."
151,My ZenTime Pro watch won't turn on even after charging for over 6 hours. I've tried multiple chargers and outlets.
152,I was charged twice for my ZenTime Pro purchase on my credit card. The transactions are showing as pending and posted.
153,The delivery package for my ZenTime Lite arrived completely empty. The sealed box contained no watch or accessories.
154,"The battery on my ZenTime Plus drains within 2 hours of a full charge, even with minimal usage and all extra features disabled."
155,"The heart rate sensor on my ZenTime Pro is consistently showing inaccurate readings, often significantly higher or lower than my actual heart rate."
156,I need a full refund for my order. I received the wrong color ZenTime Lite (blue instead of black) and the packaging was damaged.
157,Cannot connect my ZenTime watch to my Android phone. The app keeps saying 'connection failed' despite multiple attempts and reboots.
158,I haven't received my order confirmation email for my ZenTime Plus purchase. I placed the order two days ago and the payment has been processed.
159,"My ZenTime Lite watch battery won't charge past 50%. The charging indicator light remains solid, but the percentage won't increase."
160,"The screen on my ZenTime Lite is flickering intermittently, especially when displaying darker colors. It's distracting and makes the watch unusable."
161,I was overcharged on my credit card statement for my ZenTime Pro order. The total amount charged is higher than the advertised price.
162,"The GPS on my ZenTime watch is not working correctly. It takes a very long time to acquire a signal, and the location tracking is inaccurate."
163,My ZenTime watch band broke after only a week of use. The pin holding the band together snapped while I was wearing it.
164,"I received the wrong model of ZenTime watch. I ordered the ZenTime Pro, but I received the ZenTime Lite instead."
165,"The watch battery died completely and won't revive. I've tried charging it with different cables and adapters, but it remains unresponsive."
166,The fitness tracking features on my ZenTime Plus are not syncing with my app. My steps and activity data are not appearing in the app's history.
167,I have a question about my invoice for my ZenTime order. I need clarification on some of the charges listed.
168,"The screen on my ZenTime Plus is cracked. It appears to have cracked spontaneously, as I haven't dropped or bumped the watch."
169,"My order status shows 'delivered' but I haven't received it. I've checked with my neighbors and the building's reception, but no one has seen the package."
170,The battery life on my ZenTime Pro has significantly decreased over the past month. It now lasts only a few hours on a single charge.
171,The watch keeps restarting randomly throughout the day. It interrupts my activity tracking and makes the watch unreliable.
172,I need to change my billing address associated with my ZenTime account. I've moved recently and need to update my information.
173,The pedometer feature on my ZenTime Lite is not accurate. It consistently undercounts my steps compared to other fitness trackers.
174,My delivery was delayed beyond the estimated arrival date. The tracking information hasn't been updated in several days.
175,The ZenTime watch battery heats up significantly while charging. It becomes uncomfortably warm to the touch.
176,"The touch screen on my ZenTime Plus is unresponsive. It doesn't register my taps or swipes, making the watch unusable."
177,I have a payment dispute regarding a charge on my credit card for a ZenTime subscription I did not authorize.
178,The watch face on my ZenTime Pro is scratched upon arrival. The scratch is visible and detracts from the watch's appearance.
179,"I received an empty box instead of the ZenTime watch. The box was sealed, but it contained no watch or accessories."
180,"The battery percentage on my ZenTime Lite drops rapidly, even when the watch is idle. It goes from 100% to 50% in a matter of minutes."
181,The Bluetooth connection between my ZenTime watch and my phone keeps dropping. I have to constantly reconnect them.
182,I was charged for a subscription I didn't sign up for. I've never authorized a ZenTime subscription.
183,"The watch strap on my ZenTime Plus is damaged. The stitching is coming undone, and the strap is fraying."
184,The delivery tracking information for my ZenTime order is incorrect. It shows the package being delivered to a different city.
185,The battery on my ZenTime Pro drains even when the watch is in standby mode. It loses power overnight without being used.
186,The ZenTime watch is freezing and unresponsive. I have to force a restart to get it working again.
187,I need to update my payment method for my ZenTime subscription. My current card is expiring soon.
188,The watch display on my ZenTime Lite has dead pixels. There are several dark spots on the screen that don't display any information.
189,"My package was marked as delivered but I didn't receive it. I've contacted the delivery company, but they haven't been able to locate it."
190,The battery on my ZenTime Plus takes too long to charge. It takes several hours to reach a full charge.
191,"The ZenTime watch is not vibrating for notifications. I've checked the settings, and the vibration is enabled, but it's not working."
192,I need to cancel my order and request a refund. I've changed my mind about the purchase.
193,"The ZenTime watch is water damaged despite being advertised as waterproof. I wore it while swimming, and now it's malfunctioning."
194,"I received a damaged package for my ZenTime order. The outer box was crushed, and the watch's packaging was also damaged."
195,The battery health on my ZenTime Lite is showing as critical after a short time. It's significantly degraded after only a few months of use.
196,"The ZenTime watch is not syncing data to the cloud. My activity data is not being backed up, and I'm losing all my fitness progress information."
197,"I have a question about my promotional discount for my ZenTime purchase. The discount code I entered at checkout was not applied, and I was charged the full price."
198,"The ZenTime watch's speaker is not working. I cannot hear any notifications or audio from the watch, even at maximum volume."
199,"My order was shipped to the wrong address. I provided the correct address during checkout, but the tracking information shows it being delivered to a different location."
200,"The battery on my ZenTime Plus is swelling. The back of the watch is bulging, and I'm concerned about a potential fire hazard."
201,stopped working after light rain exposure. This is not as advertised.
202,Button stuck�unable to turn the watch on/off.
203,Strap broke within a week; poor build quality.
204,Touchscreen lagging and not registering taps correctly
205,"Back cover came off, and doesn't properly fix anymore"
